State,Year,Energy_type,Generation_MU,Capacity_MW,Potential_MW,Avg_Generation_MW,CUF,Potential_Capacity_Gap_MW,Generation_Potential_Utilization
Andaman And Nicobar Islands,2008,Wind,1.36,1.10,0.00,0.1550228311,0.1409298464,-1.10,0.00%
Andaman And Nicobar Islands,2009,Wind,1.36,1.10,0.00,0.1550228311,0.1409298464,-1.10,0.00%
Punjab,2010,Solar,1.25,1.33,0.00,0.1426940639,0.1072887699,-1.33,0.00%
Gujarat,2015,Biomass,0.00,0.00,"1,221.00",0,0,"1,221.00",0.00%
Arunachal Pradesh,2019,Solar,1.20,5.39,"8,650.00",0.1371004566,0.0254360773,"8,644.61",0.00%
Puducherry,2018,Solar,1.17,0.16,0.00,0.1335616438,0.834760274,-0.16,0.00%
Lakshadweep,2019,Solar,1.11,0.75,0.00,0.126369863,0.1684931507,-0.75,0.00%
Andhra Pradesh,2011,Solar,1.04,2.10,0.00,0.1182648402,0.05631659056,-2.10,0.00%
Lakshadweep,2008,Solar,1.03,0.76,0.00,0.1180365297,0.1553112233,-0.76,0.00%
Lakshadweep,2009,Solar,1.03,0.76,0.00,0.1180365297,0.1553112233,-0.76,0.00%
Lakshadweep,2010,Solar,1.02,0.75,0.00,0.1164383562,0.1552511416,-0.75,0.00%
Lakshadweep,2011,Solar,1.02,0.75,0.00,0.1164383562,0.1552511416,-0.75,0.00%
Lakshadweep,2012,Solar,1.02,0.75,0.00,0.1164383562,0.1552511416,-0.75,0.00%
Lakshadweep,2013,Solar,1.02,0.75,0.00,0.1164383562,0.1552511416,-0.75,0.00%
Lakshadweep,2014,Solar,1.02,0.75,0.00,0.1164383562,0.1552511416,-0.75,0.00%
Lakshadweep,2015,Solar,1.02,0.75,0.00,0.1164383562,0.1552511416,-0.75,0.00%
Lakshadweep,2016,Solar,1.02,0.75,0.00,0.1164383562,0.1552511416,-0.75,0.00%
Chandigarh,2014,Solar,1.00,2.00,0.00,0.1139269406,0.05696347032,-2.00,0.00%
West Bengal,2010,Solar,0.93,1.15,0.00,0.1060502283,0.09221758984,-1.15,0.00%
West Bengal,2011,Solar,0.93,1.15,0.00,0.1060502283,0.09221758984,-1.15,0.00%
Chhattisgarh,2013,Wind,0.87,0.00,0.00,0.09931506849,0,0,0.00%
Himachal Pradesh,2019,Solar,0.87,22.68,"33,840.00",0.09885844749,0.004358838073,"33,817.32",0.00%
Goa,2020,Solar,0.82,4.78,880.00,0.09360730594,0.0195831184,875.22,0.01%
Jammu And Kashmir,2017,Solar,0.77,1.36,"111,050.00",0.08789954338,0.06463201719,"111,048.64",0.00%
